ID,AC,DC
100635,6.2018377,-5.758654
100681,5.1118141,-4.9549917
100682,6.2405828,-6.409629
100683,4.8376495,-4.7852229
100724,10.06496914,-10.29157719
100787,5.836061,-5.9455773
100789,9.910252,-10.014806
100802,1.9475934,-1.7237267
100837,4.1668745,-4.13629
100842,7.7133106,-7.5959742
100848,5.46965,-5.34376
100889,5.8952538,-5.977831
100911,7.0196763,-7.0758887
100914,6.7725544,-6.4013383
100939,6.8723233,-6.9184191
100946,8.1533068,-8.2588737
100947,8.6901018,-9.6332204
100949,6.6742381,-6
101004,3.7898213,-3.9220934
101037,4.00361,-3.7427156
101042,8.8531968,-8.9041015
101044,7.8759866,-7.4175605
101046,5.233249,-5.1757237
101059,4.8387996,-4.4596871
101063,8.3583668,-7.932717
101257,6.351023,-6.2871806
101278,2.9838164,-2.8406126
101282,4.7689201,-4.7134643
101287,7.7820004,-7.6397824
101304,2.6553784,-2.5670343
101336,9.4796403,-9.4248489
101338,7.7787754,-7.5074907
101362,3.8947789,-3.8119184
101379,3.71269,-3.6952018
101390,4.4878469,-4.6870752
101396,6.7802793,-6.5180984
101399,6.2133308,-6.1156097
101461,5.8968111,-6.0250846
101471,4.5188615,-4.2833035
101477,6.2187409,-6.0367836
101496,3.527126,-3.6578189
101498,10.126602,-9.8509593
101518,9.5008645,-9.2748942
101546,6.1587611,-6.2436188
101549,5.8824706,-6.0678505
101584,5.7631347,-5.0205979
101608,5.451608,-6.1665254
101612,2.9174022,-3.0036275
101619,3.3862546,-3.2650164
101624,8.6327765,-9.2377192
101634,4.01415,-3.7858559
101668,5.851602,-5.8280255
101685,6.6380816,-6.6903284
101692,10.182879,-9.2842999
101738,6.07716,-6.1214802
101752,7.9952142,-7.8035513
101756,7.4270761,-7.3848384
101762,5.4043663,-5.5238126
101774,4.2928549,-4.0848469
101851,6.2842644,-5.8527199
101853,6.0858476,-5.5916115
101857,5.423058,-5.1610704
101923,4.2661631,-4.2426628
101950,5.1687151,-4.6616363
101984,7.1757837,-6.9571066
102042,4.3669227,-4.4735952
102043,5.4574139,-5.192971
102046,5.1613324,-5.4119497
102081,3.767485,-3.8149977
102123,5.5226394,-5.3955025
102154,4.6980919,-4.7343818
102159,4.2013844,-4.0481222
102182,6.9977618,-6.9780088
102230,5.6513173,-5.7150121
102253,4.8206805,-4.9313987
102308,2.2669488,-2.1349016
102309,4.3271231,-4.3965001
102317,7.0214725,-7.357094
102337,4.3677932,-4.3832278
102403,8.1341098,-7.9973678
102422,10.029731,-9.7767667
102431,5.2392252,-4.9488563
102434,6.6591313,-6.2293857
102445,3.2364398,-2.9917355
102471,5.4869451,-4.4176645
102502,2.2836615,-2.2282675
102504,5.1720784,-4.906897
102515,6.4897529,-6.2885039
102607,6.8507245,-6.7561087
102629,8.0816154,-8.1471431
102659,4.628165,-4.4745709
102671,4.2899828,-4
102684,4.2474466,-4.1826443
102697,5.0377371,-4.7248147
102747,4.8971473,-4.7414929
102759,5.0501776,-5.0698414
102760,7.1524111,-7.0740027
102818,6.7515319,-6.9383995
102822,7.849237,-8.0951565
102839,7.3042654,-7.8840706
102847,2.661382,-2.4930941
102849,6.3032543,-6.3389273
102924,6.6764192,-6.5357845
102935,7.0677402,-7.1307112
102945,3.9634061,-3.9218702
102978,6.6725538,-6.6476126
102982,7.4355569,-7.5872229
102988,7.6691645,-7.4465201
102990,7.3097015,-7.4929962
102993,5.205785,-5.0397861
102995,5.8872483,-5.7421681
102997,7.3401931,-7.0035742
103174,5.3152509,-5.1762125
103178,4.9983232,-4.8763451
103199,4.1983574,-4.1378614
103211,10.542021,-10.883551
103227,3.6339487,-3.4827633
103236,7.9694602,-8.1354735
103338,7.2275947,-7.4897776
103415,5.4743367,-5.5451681
103416,5.9897935,-5.9703609
103422,5.5153846,-5.2637489
103423,4.5479586,-4.1790646
103528,9.3047207,-9.6113023
103560,5.609242,-5.7081138
103639,8.9390164,-9.0859244
103679,9.114658,-9.3532202
103687,5.0841276,-4.8937088
103754,5.3003215,-5.3256032
103762,6.5718967,-6.3480726
103764,8.0473518,-7.8709452
103766,4.5526428,-4.5051526
103770,5.3895155,-5.0749334
103772,6.3448058,-5.9089056
103776,7.2815616,-7.0673204
103778,7.4771501,-7.2748095
103780,7.3425041,-7.711208
103805,2.5934712,-2.5230813
103811,9.0521087,-9.3203536
103860,6.5256091,-6.1899722
103917,6.7401211,-6.7344844
103937,6.1482489,-6.2864208
103939,5.4649258,-5.3850613
103980,5.5933654,-5.6870447
104029,9.2640104,-9.1507559
104031,7.9448226,-8.0483026
104047,8.6802455,-8.5073249
104105,8.4834995,-8.2267545
104114,10.868861,-11.02802
104140,6.9566333,-6.5145054
104159,12.632802,-12.964117
104180,9.3842386,-9.3443338
104202,8.4275043,-8.4895197
104233,5.5092926,-5.5701566
104272,3.9964488,-4.0119893
104339,7.6877336,-8.0126445
104440,6.2153819,-6.718639
104449,5.4505703,-5.3896061
104584,5.1774858,-5.0563401
104586,2.6218373,-2.5434889
104628,5.9024703,-5.7762442
104641,5.3839242,-5.9407258
104648,4.137761,-3.8682391
104704,9.0601363,-9.3008395
104713,9.3317319,-9.9387079
104726,3.2305272,-2.8776277
104734,5.8377598,-6.0006503
104742,3.9143559,-3.6876872
104752,6.7724655,-6.8128754
104769,6.0363144,-5.9642272
104785,6.3584546,-6.397931
104843,5.0785885,-4.9616646
104845,3.6179217,-4.0699047
104847,6.8686088,-6.747804
104866,8.1090833,-8.0272031
104903,8.596721,-9.0057288
104909,4.884108,-4.4239264
104936,4.7592125,-4.8194393
104979,4.8971946,-4.8484251
105010,5.8341805,-5.5684917
105019,6.2936039,-6.1734829
105077,7.31842,-7.3088571
105081,8.4414409,-9.0107412
105109,6.5545424,-6.5347839
105128,9.1138012,-8.8834617
105130,7.8802966,-7.6253627
105136,7.2069228,-6.9893045
105163,6.4868802,-6.2748183
105169,7.1785999,-7.4311448
105193,9.8030227,-9.8631321
105249,2.8354902,-2.8965321
105266,5.6111863,-5.7859522
200877,3.1415032,-3.1135789
200916,8.1589707,-8.9434708
201469,7.0802893,-7.0692782
202188,10.323616,-10.34034
202210,2.0890851,-2.065538
202528,6.7981081,-6.8918802
202636,4.5895711,-4.7424518
203328,6.4645938,-6.668429
203390,5.2396966,-5.3540697
203408,6.0994783,-6.2363999
203468,7.0796783,-6.3419768
203490,6.1563205,-6.0024408
203952,3.2880488,-3.2382364
203990,6.1648764,-5.8628627
204058,5.1928892,-5.2620318
204375,7.4547587,-7.4343222
